gene,qval_6h,ratio_6h,qval_1d,ratio_1d,qval_3d,ratio_3d,qval_7d,ratio_7d
A1BG,0.607199,0.881776,0.453011,0.91995,0.75822,0.87762,0.994179,0.953576
A1CF,0.752327,0.959703,0.662397,1.02949,0.952774,1.0192,0.997914,0.986492
A2M,0.939349,0.944951,0.0416595,1.57038,0.97729,0.954112,0.998861,0.986573
A2ML1,0.525981,0.820747,0.200387,0.879047,0.87568,0.921447,0.991615,0.93962
A4GALT,0.732293,0.909414,0.0549973,1.23045,0.968617,1.02938,0.997914,1.03788
A4GNT,0.909666,0.973911,0.979514,1.00336,0.897091,1.05708,0.797237,1.13281
AAAS,0.524708,1.1425,0.000177962,0.801763,0.916566,0.961164,0.997914,1.00537
AACS,0.882375,0.974477,0.0667691,0.896725,0.622063,0.896753,0.920125,0.929885
AADAC,0.621156,0.940555,0.801614,0.98268,0.723293,0.929719,0.997914,1.01191
AADACL2,0.794842,0.955258,0.438863,0.941066,0.99415,0.996732,0.980705,1.05891
AADAT,0.60108,0.924321,0.0601495,0.898323,0.984695,0.991355,0.99922,1.00065
AAGAB,0.6897,1.11672,0.010476,1.30686,0.979887,0.979088,0.999088,1.0034
AAK1,0.714208,1.12997,0.0147695,0.735319,0.887622,0.900126,0.997914,1.04824
AAMDC,0.997705,0.998221,0.846437,1.04711,0.880381,1.14158,0.995966,1.0737
AAMP,0.815883,1.06565,0.795068,1.03909,0.918312,1.06482,0.997914,1.02754
AANAT,0.551561,0.808571,0.70084,0.939412,0.798455,0.860329,0.691918,0.793498
AAR2,0.912239,0.962639,0.254134,1.1484,0.442338,1.29214,0.957255,1.12155
AARS,0.682499,1.0608,0.0285087,1.12894,0.718854,1.09121,0.984213,1.04724
AARS2,0.977308,0.994376,0.149763,0.923541,0.940212,1.02558,0.98779,1.03945
AASDH,0.896743,1.14036,0.517302,0.766001,0.934532,1.19004,0.999733,1.0015
AASDHPPT,0.593794,1.14693,0.349791,1.10851,0.646578,1.18713,0.984213,1.08092
AASS,0.88146,1.04537,0.878842,1.02445,0.944346,0.956646,0.984213,1.08176
AATBC,0.696802,0.839489,0.77905,1.07389,0.896291,1.14067,0.993753,0.910281
AATF,0.737771,1.1358,0.63815,0.913184,0.911053,1.10416,0.994321,1.07686
AATK-AS1,0.577701,0.867311,0.741174,0.957577,0.684071,0.855066,0.993745,0.94799
ABAT,0.549631,0.775282,0.091457,0.786034,0.886254,0.891757,0.419523,0.695258
ABCA1,0.969917,1.05494,3.32E-05,4.62398,0.857715,1.46875,0.997914,0.952281
ABCA10,0.465461,0.897392,0.100997,0.932489,0.871188,0.962912,0.994235,1.02121
ABCA12,0.709011,0.94978,0.761889,0.977076,0.98676,0.992779,0.993745,1.03204
ABCA13,0.658734,0.929045,0.606535,1.04411,0.987393,0.991588,0.989896,1.04608
ABCA2,0.63736,0.919361,7.71E-08,0.695147,0.70455,0.89571,0.915633,0.91669
