Ciclos,C(-),NP,N24,P14,BO,Cx,Cpu ,Tal,Hyp,Mes,Cb,Pu,BuRa
1,2.13E-05,-5.31E-03,2.79E-05,5.19E-04,-1.66E-03,2.63E-04,-4.41E-04,5.46E-04,3.79E-04,3.62E-05,4.68E-04,3.06E-03,5.42E-03
2,-3.05E-05,-2.86E-03,1.79E-03,3.01E-04,-3.89E-04,9.72E-04,2.59E-05,4.27E-04,4.39E-04,-9.94E-06,4.62E-04,2.93E-03,1.00E-03
3,-8.23E-05,-1.36E-03,-3.35E-04,8.42E-04,-1.56E-04,5.20E-04,-4.34E-05,1.59E-04,-3.00E-04,8.89E-05,2.66E-05,2.72E-03,3.21E-03
4,-5.36E-05,-1.01E-03,1.66E-03,5.22E-04,-6.56E-04,8.00E-04,1.35E-03,4.14E-04,5.48E-04,5.77E-07,-9.43E-04,2.67E-03,2.39E-03
5,-5.65E-05,-7.87E-04,1.99E-04,5.86E-04,-4.66E-04,-1.99E-04,3.21E-04,2.33E-04,6.98E-05,3.07E-05,8.77E-05,2.08E-03,3.47E-03
6,1.11E-04,-2.33E-04,2.31E-03,4.51E-04,1.77E-03,1.64E-04,8.91E-05,-2.27E-04,2.71E-05,1.08E-05,7.60E-04,1.91E-03,8.98E-04
7,9.60E-05,6.74E-05,-5.11E-04,-1.12E-03,-2.21E-04,3.47E-04,1.53E-04,4.59E-04,3.31E-05,2.39E-05,-6.18E-04,1.97E-03,-5.85E-04
8,6.98E-05,6.02E-04,-5.95E-04,-9.44E-04,1.25E-03,-5.27E-04,6.75E-05,-2.74E-04,5.34E-04,5.39E-05,1.08E-03,1.27E-03,3.76E-04
9,2.02E-04,1.43E-03,1.66E-04,3.42E-04,-8.01E-04,6.11E-04,1.37E-04,3.43E-04,-6.08E-04,8.10E-05,-1.05E-04,8.55E-04,1.02E-03
10,-1.00E-05,1.01E-03,-1.36E-03,-2.54E-04,1.03E-03,4.06E-04,1.30E-03,-7.10E-04,6.58E-04,-1.00E-05,1.02E-03,2.56E-04,1.12E-04
